,date_of_fail,product_description,country_of_origin,producer_name,reason_for_fail,results,units,reference,food_category,test_applied,holding_order_number,category   ,result/s,category,test_applied/_reason_for_fail,results/units,results_/_units.1,result,results_in_mg_per_kg
0,2019-06-05,Kashmiri chilli powder,India,Anna Aluminium Co Pvt Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
1,2019-06-11,Frozen cooked prawns,Vietnam,Camau Seafood Processing & Service Jointstock Corp,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
2,2019-06-13,Chocolate halawa,Saudi Arabia,Qoot Food,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
3,2019-06-17,Frozen cooked vannamei prawns,Vietnam,Thalassa Seafoods (Vietnam),Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
4,2019-06-14,Marinara mix,Malaysia,Labuan Food Industries Sdn Bhd,Salmonella,125.0,g,MSM 11/2018,Risk,Not Applied,,,,,,,,,1250000.0
5,2019-05-16,Frozen cooked vannamei prawn meat,China,Zhejiang Ocean Family Co Ltd,Standard plate count,,cfu/g,CRU 03/2019,Risk,Not Applied,,,,,,,,,
6,2019-06-27,Tahini halawah,Syria,Al Asala Foodstuff Co,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
7,2019-06-25,Kashmiri chilli powder,India,Patidar Exports Pvt Limited,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
8,2019-06-27,Tahini halawah,Syria,Al Asala Foodstuff Co,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
9,2019-06-25,Kashmiri chilli powder,India,Patidar Exports Pvt Limited,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
10,2019-06-25,,,,,,none,,Risk,Not Applied,,,,,,,,,
